city,year,TMAX,TMIN,TAVG,TMAX_EXTREME,TMIN_EXTREME,PRCP_SUM
Guangzhou,1988,26.22978142076503,18.641256830601094,22.43551912568306,37.3,5.7,1982.7
Guangzhou,1989,26.758082191780822,19.15753424657534,22.957808219178084,37.7,4.5,1638.4
Guangzhou,1990,26.986027397260273,19.60794520547945,23.296986301369863,38.0,3.4,1239.5
Guangzhou,1991,27.06082191780822,19.752054794520546,23.406438356164383,36.8,0.8,1355.8
Guangzhou,1992,26.279234972677596,18.92704918032787,22.603142076502735,36.5,4.0,1853.4
Guangzhou,1993,26.307123287671235,19.284657534246573,22.795890410958904,36.4,2.7,2253.6
Guangzhou,1994,26.823287671232876,20.238082191780823,23.530684931506848,37.3,5.1,1787.1
Guangzhou,1995,26.255342465753426,19.718630136986302,22.986986301369864,36.9,6.4,1752.4
Guangzhou,1996,26.03087431693989,18.59672131147541,22.31379781420765,36.6,2.4,1683.4
Guangzhou,1997,26.294520547945204,19.107397260273974,22.70095890410959,36.6,4.3,1997.3
Guangzhou,1998,27.155890410958904,19.789863013698632,23.47287671232877,36.5,5.0,1736.1
Guangzhou,1999,27.126027397260273,19.140821917808218,23.133424657534245,36.2,0.0,1620.4
Guangzhou,2000,26.75409836065574,19.127868852459017,22.940983606557378,36.6,4.0,1798.9
Guangzhou,2001,26.996986301369862,19.376712328767123,23.186849315068493,36.3,4.5,2678.9
Guangzhou,2002,27.30328767123288,19.843013698630138,23.57315068493151,36.6,3.1,1866.7
Guangzhou,2003,27.684109589041096,19.54054794520548,23.612328767123287,37.8,4.1,1338.7
Guangzhou,2004,27.753278688524592,19.401092896174863,23.577185792349727,39.1,3.1,1636.5
Guangzhou,2005,27.103561643835615,19.81013698630137,23.456849315068492,39.0,2.1,1986.2
Guangzhou,2006,27.688219178082193,20.12027397260274,23.904246575342466,37.5,5.0,2175.7
Guangzhou,2007,27.715616438356168,20.11890410958904,23.9172602739726,37.4,5.7,1370.3
Guangzhou,2008,26.866120218579233,19.42622950819672,23.146174863387976,38.6,3.6,2284.0
Guangzhou,2009,27.3172602739726,19.838356164383562,23.57780821917808,37.8,3.3,1472.6
Guangzhou,2010,26.679726027397262,19.645753424657535,23.162739726027397,37.1,1.8,2353.6
Guangzhou,2011,26.593424657534246,18.04082191780822,22.317123287671233,36.9,2.6,1632.3
Guangzhou,2012,26.307377049180328,18.693715846994536,22.500546448087434,36.8,2.5,1813.9
Guangzhou,2013,21.108823529411765,18.176293103448273,19.64255831643002,32.5,3.3,2200.4
Guangzhou,2014,24.407865168539328,18.01255605381166,21.210210611175494,36.3,1.3,2336.7
Guangzhou,2015,20.809375,19.399141630901287,20.104258315450643,34.3,4.8,2625.1
Harbin,1960,9.284426229508197,-2.068306010928962,3.6080601092896174,32.5,-33.7,551.2
Harbin,1961,10.307123287671233,-1.5526027397260276,4.3772602739726025,33.4,-36.3,525.1
Harbin,1962,10.425753424657534,-1.9873972602739725,4.219178082191781,34.5,-31.7,429.0
Harbin,1963,9.643287671232876,-2.036164383561644,3.803561643835616,33.4,-34.4,691.0
Harbin,1964,9.276502732240436,-2.0,3.638251366120218,35.4,-32.5,537.1
Harbin,1965,8.598904109589041,-2.853698630136986,2.8726027397260276,35.1,-33.7,584.3
Harbin,1966,9.216712328767123,-1.8460273972602739,3.6853424657534246,31.7,-33.0,549.4
Harbin,1967,10.781369863013698,-1.3158904109589042,4.732739726027397,32.4,-35.7,371.2
Harbin,1968,9.649180327868851,-1.2079234972677597,4.2206284153005456,32.7,-34.1,533.7
Harbin,1969,8.041643835616437,-3.3408219178082192,2.350410958904109,31.8,-34.5,587.5
Harbin,1970,9.576164383561645,-2.4657534246575343,3.5552054794520553,34.4,-38.1,458.0
Harbin,1971,10.23150684931507,-1.5397260273972602,4.345890410958905,31.1,-29.7,605.2
Harbin,1972,9.172677595628414,-2.309016393442623,3.4318306010928956,36.0,-31.1,496.0
Harbin,1973,9.892054794520547,-2.0536986301369864,3.91917808219178,34.2,-31.1,403.1
Harbin,1974,9.088767123287672,-2.432054794520548,3.328356164383562,33.6,-33.1,419.6
